key,english_source,ukrainian_auto,reviewer_notes,approved_translation
auto2.000,AI Template Matcher,Зіставлення шаблонів AI,,
auto2.001,AI Template Matcher uses these to accelerate project scoping,Зіставлення шаблонів AI використовує це для прискорення визначення обсягу проєкту,,
auto2.002,AI is analyzing your idea and creating a detailed scope...,AI аналізує вашу ідею та створює детальний обсяг робіт...,,
auto2.003,AI is analyzing your idea and creating structure...,AI аналізує вашу ідею та створює структуру...,,
auto2.004,AI will match your idea to past projects,AI зіставить вашу ідею з минулими проєктами,,
auto2.005,API key,API-ключ,,
auto2.006,Acceptance Queue,Черга прийняття,,
auto2.007,Action,Дія,,
auto2.008,Actions,Дії,,
auto2.009,Active Payment Provider,Активний платіжний провайдер,,
auto2.010,Actor,Актор,,
auto2.011,Additional Details (Optional),Додаткові деталі (опціонально),,
auto2.012,Admin notes,Примітки адміністратора,,
auto2.013,Admin required,Потрібен адміністратор,,
auto2.014,Agreement signed,Договір підписано,,
auto2.015,All,Всі,,
auto2.016,All caught up!,Все опрацьовано!,,
auto2.017,All three confirmations are required.,Потрібні всі три підтвердження.,,
auto2.018,Amount,Сума,,
auto2.019,Amount (USD),Сума (USD),,
auto2.020,Ask questions about your project,Запитайте про свій проєкт,,
auto2.021,Assigned To,Призначено,,
auto2.022,Attempts,Спроби,,
auto2.023,Available,Доступно,,
auto2.024,BETA,BETA,,
auto2.025,Back to Dashboard,Повернутися до панелі,,
auto2.026,Backend,Backend,,
auto2.027,Base hourly rate,Базова погодинна ставка,,
auto2.028,Batch,Пакет,,
auto2.029,Batch event log,Журнал подій пакета,,
auto2.030,Batch not found.,Пакет не знайдено.,,
auto2.031,Best Match,Найкращий збіг,,
auto2.032,Body,Тіло,,
auto2.033,Bookings,Бронювання,,
auto2.034,Bottlenecks & Risks,Вузькі місця та ризики,,
auto2.035,Bug Fix,Виправлення помилки,,
auto2.036,Cancel,Скасувати,,
auto2.037,Capacity,Потужність,,
auto2.038,Capacity View,Перегляд потужності,,
auto2.039,Capacity by Role,Потужність за роллю,,
auto2.040,"Capacity management, load balancing, and assignment control","Управління потужністю, балансування навантаження та контроль призначень",,
auto2.041,Case not found,Кейс не знайдено,,
auto2.042,Category,Категорія,,
auto2.043,Client ID,ID клієнта,,
auto2.044,Commit re-price,Зафіксувати переоцінку,,
auto2.045,Complexity,Складність,,
auto2.046,Confirm & sign,Підтвердити та підписати,,
auto2.047,Confirm regeneration,Підтвердити регенерацію,,
auto2.048,Control Center,Центр управління,,
auto2.049,Cookie consent overview,Огляд згоди на cookies,,
auto2.050,Cost,Вартість,,
auto2.051,Create Deliverable,Створити результат,,
auto2.052,Create Invoice,Створити рахунок,,
auto2.053,Create Module,Створити модуль,,
auto2.054,Create Project Scope,Створити обсяг проєкту,,
auto2.055,Credits,Кредити,,
auto2.056,Crit,Крит,,
auto2.057,Critical,Критичний,,
auto2.058,Critical Issues,Критичні проблеми,,
auto2.059,Currency,Валюта,,
auto2.060,Current chips,Поточні чіпи,,
auto2.061,Current snapshot,Поточний знімок,,
auto2.062,Dashboard,Панель,,
auto2.063,Deadline (hours),Дедлайн (години),,
auto2.064,Decline Task,Відхилити завдання,,
auto2.065,Default currency,Валюта за замовчуванням,,
auto2.066,Default model,Модель за замовчуванням,,
auto2.067,Describe completed work,Опишіть виконану роботу,,
auto2.068,Description,Опис,,
auto2.069,Design,Дизайн,,
auto2.070,Destination,Призначення,,
auto2.071,Detected,Виявлено,,
auto2.072,Developer,Розробник,,
auto2.073,Developers ready,Розробники готові,,
auto2.074,Devs,Девелопери,,
auto2.075,Disable 2FA,Вимкнути 2FA,,
auto2.076,Discrepancies,Розбіжності,,
auto2.077,Divergence,Розбіжність,,
auto2.078,Divergences,Розбіжності,,
auto2.079,Domain,Домен,,
auto2.080,Drag tasks to update status,Перетягніть завдання для оновлення статусу,,
auto2.081,Duration,Тривалість,,
auto2.082,EUR,EUR,,
auto2.083,Earnings history,Історія заробітку,,
auto2.084,Email,Email,,
auto2.085,Emergent Universal Key,Універсальний емерджентний ключ,,
auto2.086,Enter the 6-digit code,Введіть 6-значний код,,
auto2.087,Error,Помилка,,
auto2.088,Estimated Cost,Орієнтовна вартість,,
auto2.089,Evidence hash,Хеш підтвердження,,
auto2.090,Example Ideas,Приклади ідей,,
auto2.091,FROM CHECKOUT,ІЗ CHECKOUT,,
auto2.092,Failed,Не виконано,,
auto2.093,Feedback,Відгук,,
auto2.094,Footer social links,Соцмережі у футері,,
auto2.095,From email,Email відправника,,
auto2.096,From name,Ім'я відправника,,
auto2.097,Frontend,Frontend,,
auto2.098,Full brief,Повний бриф,,
auto2.099,Full marketplace,Повний маркетплейс,,
auto2.100,GBP,GBP,,
auto2.101,Generate project tasks with GPT,Згенерувати завдання проєкту через GPT,,
auto2.102,Go Back,Назад,,
auto2.103,Go deeper,Поглибити,,
auto2.104,Goal,Мета,,
auto2.105,Heuristic floor by goal length,Евристичний поріг за довжиною мети,,
auto2.106,High,Високий,,
auto2.107,Home,Головна,,
auto2.108,Hours,Години,,
auto2.109,Human Validation,Валідація людиною,,
auto2.110,In flow state,У стані потоку,,
auto2.111,In progress,У роботі,,
auto2.112,Individual developer load and performance,Навантаження та продуктивність кожного розробника,,
auto2.113,Info,Інфо,,
auto2.114,Integration,Інтеграція,,
auto2.115,Invoice,Рахунок,,
auto2.116,Issues,Проблеми,,
auto2.117,Issues Found,Виявлено проблем,,
auto2.118,Issues Reported,Повідомлено проблем,,
auto2.119,Item,Елемент,,
auto2.120,Item ID,ID позиції,,
auto2.121,Items,Позиції,,
auto2.122,Items by status,Позиції за статусом,,
auto2.123,Keep typing to activate AI matching,Продовжуйте вводити для активації AI-зіставлення,,
auto2.124,Kind,Тип,,
auto2.125,Label,Мітка,,
auto2.126,Legal details,Юридичні деталі,,
auto2.127,Legal documents,Юридичні документи,,
auto2.128,Links,Посилання,,
auto2.129,Links (one per line),Посилання (по одному на рядок),,
auto2.130,Load,Завантажити,,
auto2.131,Loading tasks...,Завантаження завдань...,,
auto2.132,Loading team data...,Завантаження даних команди...,,
auto2.133,Local snapshot,Локальний знімок,,
auto2.134,Lock this estimate?,Зафіксувати цю оцінку?,,
auto2.135,Lost Revenue,Втрачений дохід,,
auto2.136,Low,Низький,,
auto2.137,Lower confidence on this estimate,Знизити впевненість у цій оцінці,,
auto2.138,Manual controls for team orchestration,Ручне керування оркестрацією команди,,
auto2.139,Margin,Маржа,,
auto2.140,Marketplace Quality,Якість Marketplace,,
auto2.141,Marketplace empty right now.,Marketplace наразі порожній.,,
auto2.142,Max validators,Макс. валідаторів,,
auto2.143,Medium,Середній,,
auto2.144,Merchant account (login),Обліковий запис мерчанта (логін),,
auto2.145,Merchant password,Пароль мерчанта,,
auto2.146,Method,Метод,,
auto2.147,Module Information,Інформація про модуль,,
auto2.148,Module Title,Назва модуля,,
auto2.149,Name,Назва,,
auto2.150,Need rebalance,Потребує ребалансу,,
auto2.151,New Project,Новий проєкт,,
auto2.152,New axes (preview),Нові осі (попередній перегляд),,
auto2.153,New chips,Нові чипи,,
auto2.154,New recovery codes,Нові коди відновлення,,
auto2.155,New validation campaign,Нова кампанія валідації,,
auto2.156,Next Attempt,Наступна спроба,,
auto2.157,Next step: continue to payment.,Наступний крок: перейти до оплати.,,
auto2.158,No batch events yet.,Події пакета ще відсутні.,,
auto2.159,No bottlenecks detected. Team is balanced!,Вузьких місць не виявлено. Команда збалансована!,,
auto2.160,No completed validations yet,Завершених валідацій ще немає,,
auto2.161,No completed work units available,Завершених робочих одиниць немає,,
auto2.162,No consent responses recorded yet.,Відповідей на згоду ще не зафіксовано.,,
auto2.163,No developers available,Розробники відсутні,,
auto2.164,No events recorded.,Події не зафіксовано.,,
auto2.165,No invoices yet,Рахунків ще немає,,
auto2.166,No issues reported yet,Проблем ще не повідомлено,,
auto2.167,No leads in this bucket,Лідів у цій групі немає,,
auto2.168,No messages yet,Повідомлень ще немає,,
auto2.169,No open missions right now,Відкритих місій наразі немає,,
auto2.170,No pending validations,Валідацій в очікуванні немає,,
auto2.171,No providers,Провайдери відсутні,,
auto2.172,No quality issues detected,Проблем із якістю не виявлено,,
auto2.173,No recent activity,Останньої активності немає,,
auto2.174,No submissions yet.,Подань ще немає.,,
auto2.175,No tasks,Завдань немає,,
auto2.176,No tasks awaiting acceptance,"Завдань, що очікують прийняття, немає",,
auto2.177,No tasks generated yet,Завдань ще не згенеровано,,
auto2.178,No templates yet. Create one to power AI matching.,Шаблонів ще немає. Створіть один для AI-зіставлення.,,
auto2.179,No trusted devices. You'll be asked for 2FA on every sign-in.,Довірених пристроїв немає. Вас запитуватимуть 2FA при кожному вході.,,
auto2.180,No validations in this category,Немає валідацій у цій категорії,,
auto2.181,No validations pending,Немає валідацій в очікуванні,,
auto2.182,No withdrawals in this filter.,Немає виведень у цьому фільтрі.,,
auto2.183,Normal,Нормально,,
auto2.184,Not Assigned,Не призначено,,
auto2.185,Not specified,Не вказано,,
auto2.186,Note,Примітка,,
auto2.187,Nothing waiting for review.,Нічого не очікує перевірки.,,
auto2.188,Observation only.,Тільки спостереження.,,
auto2.189,Open,Відкрито,,
auto2.190,Open live operations,Відкриті операції,,
auto2.191,Open missions,Відкриті місії,,
auto2.192,OpenAI API key,Ключ OpenAI API,,
auto2.193,Optimal,Оптимально,,
auto2.194,Optional perception layer. Admin orchestrates campaigns and judges signal quality.,Опційний рівень перцепції. Адміністратор організує кампанії та оцінює якість сигналу.,,
auto2.195,Outcome,Результат,,
auto2.196,Overloaded,Перевантажено,,
auto2.197,Overloaded developers and quality issues,Перевантажені розробники та проблеми з якістю,,
auto2.198,Pass Rate,Успішність,,
auto2.199,Passed,Пройдено,,
auto2.200,Password,Пароль,,
auto2.201,Payments Center,Центр платежів,,
auto2.202,People View,Перегляд людей,,
auto2.203,Performance,Продуктивність,,
auto2.204,Preferred provider,Рекомендований провайдер,,
auto2.205,Preview / App URL,Попередній перегляд / URL застосунку,,
auto2.206,Preview URL (where validators click around),URL попереднього перегляду (де валідатори тестують),,
auto2.207,Preview new price,Попередній перегляд нової ціни,,
auto2.208,Pricing config,Конфігурація ціноутворення,,
auto2.209,Priority,Пріоритет,,
auto2.210,Production-mode multipliers,Множники продакшн-режиму,,
auto2.211,Profile,Профіль,,
auto2.212,Profit,Прибуток,,
auto2.213,Project,Проєкт,,
auto2.214,Project Reality Layer (entropy multipliers),Рівень реальності проєкту (множники ентропії),,
auto2.215,Project not found,Проєкт не знайдено,,
auto2.216,Projects whose client selected a Human Validation tier at checkout.,"Проєкти, чий клієнт обрав рівень ручної валідації при оформленні.",,
auto2.217,Proposed,Запропоновано,,
auto2.218,Protect your account,Захистіть свій обліковий запис,,
auto2.219,Provider,Провайдер,,
auto2.220,Provider Ref,Референс провайдера,,
auto2.221,Provider ref,Референс провайдера,,
auto2.222,Provider snapshot,Знімок провайдера,,
auto2.223,Publishable key (PUBLIC),Публічний ключ (PUBLIC),,
auto2.224,QA Rate,QA-показник,,
auto2.225,QA queue is empty,Черга QA порожня,,
auto2.226,Quality,Якість,,
auto2.227,Quality Control,Контроль якості,,
auto2.228,Quick Mode,Швидкий режим,,
auto2.229,Rail,Рейка,,
auto2.230,Rank,Ранг,,
auto2.231,Reason,Причина,,
auto2.232,Rebalance Opportunities,Можливості ребалансу,,
auto2.233,Recent Validations,Останні валідації,,
auto2.234,Recent batches,Останні пакети,,
auto2.235,Recent runs,Останні запуски,,
auto2.236,Recommended Add-ons,Рекомендовані доповнення,,
auto2.237,Recovery codes,Коди відновлення,,
auto2.238,Released,Випущено,,
auto2.239,Reliability,Надійність,,
auto2.240,Request Clarification,Запросити уточнення,,
auto2.241,Requested,Запитано,,
auto2.242,Required Stack,Необхідний стек,,
auto2.243,Resolution,Вирішення,,
auto2.244,Resolved,Вирішено,,
auto2.245,Restricted key (read-only ops),Обмежений ключ (тільки читання),,
auto2.246,Retry,Повторити,,
auto2.247,Revenue,Виручка,,
auto2.248,"Revenue, cost, and profit analysis","Аналіз виручки, витрат та прибутку",,
auto2.249,Review agreement,Переглянути угоду,,
auto2.250,Review and validate completed work units,Перевірити та затвердити виконані робочі одиниці,,
auto2.251,Reward pool (credits),Пул винагород (кредити),,
auto2.252,Risk View,Огляд ризиків,,
auto2.253,Role,Роль,,
auto2.254,Run,Запустити,,
auto2.255,SCREENSHOT,ЗНІМОК ЕКРАНА,,
auto2.256,Save these now. Old codes no longer work.,Збережіть їх зараз. Старі коди більше не працюють.,,
auto2.257,Save your recovery codes,Збережіть коди відновлення,,
auto2.258,Scan with your authenticator,Скануйте за допомогою автентифікатора,,
auto2.259,Scanned,Відскановано,,
auto2.260,Scope Templates,Шаблони скоупу,,
auto2.261,Scope generation unavailable. You can still submit your idea directly.,Генерація скоупу недоступна. Ви все одно можете надіслати ідею безпосередньо.,,
auto2.262,Score,Оцінка,,
auto2.263,Searching similar projects...,Пошук схожих проєктів...,,
auto2.264,Secret,Секрет,,
auto2.265,Secret key,Секретний ключ,,
auto2.266,Select a validation to review,Виберіть валідацію для перевірки,,
auto2.267,Session,Сесія,,
auto2.268,Severity,Серйозність,,
auto2.269,Signed at,Підписано,,
auto2.270,Skip 2FA on this browser. Revoke any time in Settings.,Пропустити 2FA у цьому браузері. Відкликати можна будь-коли в налаштуваннях.,,
auto2.271,Started,Розпочато,,
auto2.272,State,Стан,,
auto2.273,Status,Статус,,
auto2.274,Submission,Подання,,
auto2.275,Submit for Review,Надіслати на перевірку,,
auto2.276,Suggested task reassignments,Запропоновані перепризначення завдань,,
auto2.277,Suggested validation sessions,Запропоновані сесії валідації,,
auto2.278,Summary,Підсумок,,
auto2.279,System & audit log,Системний та аудит-лог,,
auto2.280,System Healthy,Система справна,,
auto2.281,Task,Завдання,,
auto2.282,Tasks,Завдання,,
auto2.283,Team Actions,Дії команди,,
auto2.284,Team Members,Члени команди,,
auto2.285,Team Orchestration Panel,Панель оркестрації команди,,
auto2.286,Team Utilization,Завантаженість команди,,
auto2.287,Team distribution and utilization per role,Розподіл та завантаженість команди за ролями,,
auto2.288,Tech Stack,Технологічний стек,,
auto2.289,Tech Stack (comma-separated),Технологічний стек (через кому),,
auto2.290,Template Name,Назва шаблону,,
auto2.291,Test recipient,Тестовий одержувач,,
auto2.292,Tester Notes,Нотатки тестувальника,,
auto2.293,This task is overdue for response. Please accept or decline ASAP.,Відповідь на це завдання прострочена. Прийміть або відхиліть якнайшвидше.,,
auto2.294,This work unit needs to be assigned to a developer,Цю робочу одиницю потрібно призначити розробнику,,
auto2.295,Tier,Рівень,,
auto2.296,Timeline,Хронологія,,
auto2.297,Title,Назва,,
auto2.298,Total Hours,Всього годин,,
auto2.299,Total responses,Всього відповідей,,
auto2.300,Trust this device for 30 days,Довіряти цьому пристрою 30 днів,,
auto2.301,Trusted devices,Довірені пристрої,,
auto2.302,Two-factor authentication,Двофакторна автентифікація,,
auto2.303,Two-factor verification,Двофакторна перевірка,,
auto2.304,Type,Тип,,
auto2.305,UAH,UAH,,
auto2.306,UAH (auto-converts to USD),UAH (автоконвертація в USD),,
auto2.307,USD,USD,,
auto2.308,Unit ID,ID одиниці,,
auto2.309,Unused single-use codes,Невикористані одноразові коди,,
auto2.310,Validation Breakdown,Деталізація перевірки,,
auto2.311,Validation Queue,Черга перевірок,,
auto2.312,Validations,Перевірки,,
auto2.313,Validator,Валідатор,,
auto2.314,Verdict,Висновок,,
auto2.315,Verify it's you,"Підтвердіть, що це ви",,
auto2.316,Warn,Попередити,,
auto2.317,Warning,Попередження,,
auto2.318,Webhook signing secret,Секрет підпису webhook,,
auto2.319,When,Коли,,
auto2.320,"When visitors hit /describe and submit an estimate, they show up here.","Коли відвідувачі заходять на /describe і надсилають оцінку, вони з'являються тут.",,
auto2.321,Why you?,Чому ви?,,
auto2.322,Window,Вікно,,
auto2.323,Withdrawals,Виведення,,
auto2.324,Work Board,Робоча дошка,,
auto2.325,Work Unit,Одиниця роботи,,
auto2.326,Work unit not found,Одиницю роботи не знайдено,,
auto2.327,Worked example,Приклад з розбором,,
auto2.328,Worker,Виконавець,,
auto2.329,Workspace,Робочий простір,,
auto2.330,You decide. We deliver.,Ви вирішуєте. Ми виконуємо.,,
auto2.331,Your Idea,Ваша ідея,,
auto2.332,Your Question,Ваше запитання,,
